bst,lista,search_pool_size
1,1,1
1,1,2
-2,-3,3
2,2,4
2,3,5
4,4,6
2,2,7
-3,-8,8
4,5,9
1,1,10
2,5,11
5,7,12
2,2,13
3,3,14
-7,-15,15
2,2,16
9,14,17
4,4,18
4,5,19
-6,-20,20
5,7,21
7,14,22
5,13,23
7,14,24
6,15,25
4,8,26
-6,-27,27
3,7,28
8,17,29
6,7,30
5,28,31
7,17,32
5,15,33
5,12,34
-6,-35,35
4,4,36
5,14,37
-4,-38,38
-9,-39,39
8,37,40
9,24,41
4,8,42
1,1,43
-11,-44,44
-9,-45,45
-6,-46,46
-4,-47,47
-9,-48,48
-9,-49,49
5,28,50
3,7,51
-8,-52,52
-9,-53,53
-10,-54,54
4,5,55
-5,-56,56
6,21,57
8,36,58
2,4,59
6,22,60
10,20,61
8,21,62
-11,-63,63
7,32,64
6,16,65
4,64,66
4,6,67
10,40,68
6,40,69
2,2,70
-10,-71,71
-10,-72,72
5,16,73
6,16,74
-5,-75,75
7,67,76
7,16,77
5,17,78
11,62,79
2,2,80
8,23,81
2,2,82
5,16,83
1,1,84
6,24,85
6,75,86
-7,-87,87
9,19,88
5,12,89
6,8,90
8,23,91
9,54,92
-9,-93,93
-10,-94,94
9,45,95
7,29,96
-9,-97,97
2,2,98
-11,-99,99
5,22,100
